date,year,month,dayofyear,dayOfMonth,dayOfWeek,week
2023-09-28,2023,9,271,28,6,38
2023-09-29,2023,9,272,29,7,38
2023-09-30,2023,9,273,30,1,39
2023-10-01,2023,10,274,1,2,39
2023-10-02,2023,10,275,2,3,39
2023-10-03,2023,10,276,3,4,39
2023-10-04,2023,10,277,4,5,39
2023-10-05,2023,10,278,5,6,39
2023-10-06,2023,10,279,6,7,39
2023-10-07,2023,10,280,7,1,40
2023-10-08,2023,10,281,8,2,40
2023-10-09,2023,10,282,9,3,40
2023-10-10,2023,10,283,10,4,40
2023-10-11,2023,10,284,11,5,40
2023-10-12,2023,10,285,12,6,40
2023-10-13,2023,10,286,13,7,40
2023-10-14,2023,10,287,14,1,41
2023-10-15,2023,10,288,15,2,41
2023-10-16,2023,10,289,16,3,41
2023-10-17,2023,10,290,17,4,41
2023-10-18,2023,10,291,18,5,41
2023-10-19,2023,10,292,19,6,41
2023-10-20,2023,10,293,20,7,41
2023-10-21,2023,10,294,21,1,42
2023-10-22,2023,10,295,22,2,42
2023-10-23,2023,10,296,23,3,42
2023-10-24,2023,10,297,24,4,42
2023-10-25,2023,10,298,25,5,42
2023-10-26,2023,10,299,26,6,42
2023-10-27,2023,10,300,27,7,42
2023-10-28,2023,10,301,28,1,43
2023-10-29,2023,10,302,29,2,43
2023-10-30,2023,10,303,30,3,43
2023-10-31,2023,10,304,31,4,43
2023-11-01,2023,11,305,1,5,43
2023-11-02,2023,11,306,2,6,43
2023-11-03,2023,11,307,3,7,43
2023-11-04,2023,11,308,4,1,44
2023-11-05,2023,11,309,5,2,44
2023-11-06,2023,11,310,6,3,44
2023-11-07,2023,11,311,7,4,44
2023-11-08,2023,11,312,8,5,44
2023-11-09,2023,11,313,9,6,44
2023-11-10,2023,11,314,10,7,44
2023-11-11,2023,11,315,11,1,45
2023-11-12,2023,11,316,12,2,45
2023-11-13,2023,11,317,13,3,45
2023-11-14,2023,11,318,14,4,45
2023-11-15,2023,11,319,15,5,45
2023-11-16,2023,11,320,16,6,45
2023-11-17,2023,11,321,17,7,45
2023-11-18,2023,11,322,18,1,46
2023-11-19,2023,11,323,19,2,46
2023-11-20,2023,11,324,20,3,46
2023-11-21,2023,11,325,21,4,46
2023-11-22,2023,11,326,22,5,46
2023-11-23,2023,11,327,23,6,46
2023-11-24,2023,11,328,24,7,46
2023-11-25,2023,11,329,25,1,47
2023-11-26,2023,11,330,26,2,47
2023-11-27,2023,11,331,27,3,47
2023-11-28,2023,11,332,28,4,47
2023-11-29,2023,11,333,29,5,47
2023-11-30,2023,11,334,30,6,47
2023-12-01,2023,12,335,1,7,47
2023-12-02,2023,12,336,2,1,48
2023-12-03,2023,12,337,3,2,48
2023-12-04,2023,12,338,4,3,48
2023-12-05,2023,12,339,5,4,48
2023-12-06,2023,12,340,6,5,48
2023-12-07,2023,12,341,7,6,48
2023-12-08,2023,12,342,8,7,48
2023-12-09,2023,12,343,9,1,49
2023-12-10,2023,12,344,10,2,49
2023-12-11,2023,12,345,11,3,49
2023-12-12,2023,12,346,12,4,49
2023-12-13,2023,12,347,13,5,49
2023-12-14,2023,12,348,14,6,49
2023-12-15,2023,12,349,15,7,49
2023-12-16,2023,12,350,16,1,50
2023-12-17,2023,12,351,17,2,50
2023-12-18,2023,12,352,18,3,50
2023-12-19,2023,12,353,19,4,50
2023-12-20,2023,12,354,20,5,50
2023-12-21,2023,12,355,21,6,50
2023-12-22,2023,12,356,22,7,50
2023-12-23,2023,12,357,23,1,51
2023-12-24,2023,12,358,24,2,51
2023-12-25,2023,12,359,25,3,51
2023-12-26,2023,12,360,26,4,51
2023-12-27,2023,12,361,27,5,51
2023-12-28,2023,12,362,28,6,51
2023-12-29,2023,12,363,29,7,51
2023-12-30,2023,12,364,30,1,52
2023-12-31,2023,12,365,31,2,52
